commence_time,home_team,away_team
2021-12-28T00:40:00Z,Atlanta Hawks,Chicago Bulls
2021-10-22T23:46:37Z,Philadelphia 76ers,Brooklyn Nets
2021-11-18T03:10:00Z,Portland Trail Blazers,Chicago Bulls
2022-11-17T01:10:38Z,New Orleans Pelicans,Chicago Bulls
2022-02-25T01:10:39Z,Minnesota Timberwolves,Memphis Grizzlies
2022-02-15T03:30:00Z,Los Angeles Clippers,Golden State Warriors
2022-11-30T00:30:00Z,Dallas Mavericks,Golden State Warriors
2021-12-26T03:30:00Z,Utah Jazz,Dallas Mavericks
2022-03-09T00:30:00Z,Memphis Grizzlies,New Orleans Pelicans
2022-11-29T03:10:00Z,Sacramento Kings,Phoenix Suns
2022-10-26T23:10:00Z,Detroit Pistons,Atlanta Hawks
2022-03-10T03:10:00Z,Utah Jazz,Portland Trail Blazers
2022-11-26T03:00:00Z,Golden State Warriors,Utah Jazz
2022-02-27T01:12:10Z,Miami Heat,San Antonio Spurs
2022-12-01T00:10:25Z,Cleveland Cavaliers,Philadelphia 76ers
2022-11-10T00:30:00Z,Toronto Raptors,Houston Rockets
2022-12-10T03:10:00Z,Dallas Mavericks,Milwaukee Bucks
2022-12-27T00:10:00Z,Detroit Pistons,Los Angeles Clippers
2021-11-14T23:10:00Z,Atlanta Hawks,Milwaukee Bucks
2022-04-10T00:40:00Z,San Antonio Spurs,Golden State Warriors
2021-12-30T03:11:49Z,Portland Trail Blazers,Utah Jazz
2021-10-27T23:00:00Z,Orlando Magic,Charlotte Hornets
2021-12-18T02:10:18Z,Utah Jazz,San Antonio Spurs
2022-03-03T00:10:30Z,Cleveland Cavaliers,Charlotte Hornets
2022-11-12T00:10:00Z,Orlando Magic,Phoenix Suns
2022-12-13T01:40:00Z,San Antonio Spurs,Cleveland Cavaliers
2021-10-29T00:00:00Z,Chicago Bulls,New York Knicks
2022-10-31T23:10:00Z,Charlotte Hornets,Sacramento Kings
2021-12-25T19:30:00Z,Milwaukee Bucks,Boston Celtics
2021-12-14T01:40:41Z,Dallas Mavericks,Charlotte Hornets
2021-11-25T01:10:00Z,Houston Rockets,Chicago Bulls
2022-11-20T00:40:40Z,Philadelphia 76ers,Minnesota Timberwolves
2022-02-13T00:10:00Z,Charlotte Hornets,Memphis Grizzlies
2021-12-04T00:10:28Z,Indiana Pacers,Miami Heat
2022-01-11T03:10:00Z,Sacramento Kings,Cleveland Cavaliers
2022-01-13T00:10:23Z,Indiana Pacers,Boston Celtics
2022-02-09T00:40:00Z,Atlanta Hawks,Indiana Pacers
2022-02-18T00:10:49Z,Charlotte Hornets,Miami Heat
2022-10-20T00:12:31Z,San Antonio Spurs,Charlotte Hornets
2022-11-10T00:30:00Z,Brooklyn Nets,New York Knicks
2022-03-23T23:10:00Z,Detroit Pistons,Atlanta Hawks
2022-11-12T00:40:00Z,New York Knicks,Detroit Pistons
2022-02-27T01:10:00Z,Chicago Bulls,Memphis Grizzlies
2022-01-01T00:40:00Z,Cleveland Cavaliers,Atlanta Hawks
2022-12-04T02:10:00Z,Utah Jazz,Portland Trail Blazers
2022-03-31T23:40:00Z,Atlanta Hawks,Cleveland Cavaliers
2022-11-21T00:40:00Z,Dallas Mavericks,Denver Nuggets
2022-12-18T22:10:00Z,Indiana Pacers,New York Knicks
2022-01-03T02:40:00Z,Los Angeles Lakers,Minnesota Timberwolves
2022-03-03T01:11:05Z,Houston Rockets,Utah Jazz
2022-01-11T00:10:46Z,Charlotte Hornets,Milwaukee Bucks
2021-10-30T02:40:00Z,Los Angeles Lakers,Cleveland Cavaliers
2021-12-02T00:40:25Z,Boston Celtics,Philadelphia 76ers
2022-11-02T23:40:00Z,Miami Heat,Sacramento Kings
2021-12-19T23:10:00Z,Detroit Pistons,Miami Heat
2021-11-14T00:10:25Z,New Orleans Pelicans,Memphis Grizzlies
2022-01-15T03:10:00Z,Memphis Grizzlies,Dallas Mavericks
2021-10-27T00:40:00Z,Dallas Mavericks,Houston Rockets
2022-03-02T00:30:00Z,Boston Celtics,Atlanta Hawks
2021-10-21T00:10:00Z,New Orleans Pelicans,Philadelphia 76ers
2022-11-17T00:10:38Z,Charlotte Hornets,Indiana Pacers
2022-04-03T17:11:18Z,Milwaukee Bucks,Dallas Mavericks
2022-01-06T03:10:00Z,Portland Trail Blazers,Miami Heat
2022-01-24T01:40:00Z,Golden State Warriors,Utah Jazz
2022-03-22T00:10:33Z,Oklahoma City Thunder,Boston Celtics
2022-01-20T01:10:37Z,Chicago Bulls,Cleveland Cavaliers
2022-02-03T01:40:40Z,Dallas Mavericks,Oklahoma City Thunder
2022-04-26T01:30:00Z,Dallas Mavericks,Utah Jazz
2022-12-11T23:40:00Z,Atlanta Hawks,Chicago Bulls
2022-03-30T23:10:00Z,Washington Wizards,Orlando Magic
2022-04-07T23:33:00Z,Milwaukee Bucks,Boston Celtics
2022-03-09T00:10:44Z,Indiana Pacers,Cleveland Cavaliers
2021-12-03T00:40:00Z,New York Knicks,Chicago Bulls
2021-11-23T01:10:00Z,Chicago Bulls,Indiana Pacers
2022-04-28T23:06:56Z,Toronto Raptors,Philadelphia 76ers
2022-05-09T00:00:00Z,Philadelphia 76ers,Miami Heat
2022-03-13T23:10:00Z,Atlanta Hawks,Indiana Pacers
2022-01-04T03:10:00Z,Portland Trail Blazers,Atlanta Hawks
2022-04-03T22:10:00Z,Cleveland Cavaliers,Philadelphia 76ers
2022-04-13T23:15:42Z,Atlanta Hawks,Charlotte Hornets
2022-06-17T01:00:00Z,Boston Celtics,Golden State Warriors
2022-11-03T00:11:06Z,Milwaukee Bucks,Detroit Pistons
2022-11-05T00:10:12Z,San Antonio Spurs,Los Angeles Clippers
2022-12-25T22:10:00Z,Boston Celtics,Milwaukee Bucks
2022-02-01T00:40:25Z,Atlanta Hawks,Toronto Raptors
2021-10-21T00:45:00Z,San Antonio Spurs,Orlando Magic
2022-10-19T23:10:00Z,Indiana Pacers,Washington Wizards
2021-12-26T23:10:00Z,Washington Wizards,Philadelphia 76ers
2022-12-18T01:10:00Z,Oklahoma City Thunder,Memphis Grizzlies
2022-11-22T00:10:33Z,Cleveland Cavaliers,Atlanta Hawks
2021-10-21T01:15:00Z,Utah Jazz,Oklahoma City Thunder
2021-10-23T23:10:00Z,Indiana Pacers,Miami Heat
2022-01-14T01:00:00Z,Memphis Grizzlies,Minnesota Timberwolves
2022-02-05T02:11:23Z,Denver Nuggets,New Orleans Pelicans
2022-11-03T00:40:00Z,Dallas Mavericks,Utah Jazz
2022-03-01T00:11:00Z,Cleveland Cavaliers,Minnesota Timberwolves
2023-01-05T00:30:00Z,New York Knicks,San Antonio Spurs
2022-05-03T23:00:00Z,Boston Celtics,Milwaukee Bucks
2022-02-12T00:40:00Z,Atlanta Hawks,San Antonio Spurs
2022-01-07T00:32:58Z,New York Knicks,Boston Celtics
2021-11-28T23:00:00Z,Memphis Grizzlies,Sacramento Kings
2022-03-01T01:10:00Z,Memphis Grizzlies,San Antonio Spurs
2022-01-16T00:41:39Z,Brooklyn Nets,New Orleans Pelicans
2022-12-15T01:10:15Z,Oklahoma City Thunder,Miami Heat
2022-02-08T00:10:00Z,Charlotte Hornets,Toronto Raptors
2022-12-17T00:40:00Z,Philadelphia 76ers,Golden State Warriors
2022-04-08T01:10:47Z,Denver Nuggets,Memphis Grizzlies
2022-05-03T02:00:00Z,Phoenix Suns,Dallas Mavericks
2022-04-19T23:30:00Z,Miami Heat,Atlanta Hawks
2022-01-04T01:10:45Z,Milwaukee Bucks,Detroit Pistons
2021-11-15T01:10:00Z,Denver Nuggets,Portland Trail Blazers
2022-01-02T00:10:07Z,Detroit Pistons,San Antonio Spurs
2022-01-04T03:10:00Z,Golden State Warriors,Miami Heat
2022-01-04T00:10:00Z,Philadelphia 76ers,Houston Rockets
2022-11-29T02:10:00Z,Utah Jazz,Chicago Bulls
2021-12-20T01:10:00Z,Chicago Bulls,Los Angeles Lakers
2022-05-01T17:11:13Z,Boston Celtics,Milwaukee Bucks
2021-11-05T23:46:03Z,Milwaukee Bucks,New York Knicks
2021-12-03T01:10:05Z,Memphis Grizzlies,Oklahoma City Thunder
2021-12-17T02:10:00Z,Phoenix Suns,Washington Wizards
2022-03-24T23:40:45Z,Toronto Raptors,Cleveland Cavaliers
2022-11-26T01:00:00Z,Memphis Grizzlies,New Orleans Pelicans
2022-01-20T00:10:59Z,Philadelphia 76ers,Orlando Magic
2022-02-04T00:40:00Z,Toronto Raptors,Chicago Bulls
2022-12-04T20:40:31Z,New Orleans Pelicans,Denver Nuggets
2022-12-13T00:10:00Z,Indiana Pacers,Miami Heat
2022-12-06T00:40:00Z,Toronto Raptors,Boston Celtics
2022-02-05T01:40:00Z,San Antonio Spurs,Houston Rockets
2021-12-09T00:10:00Z,Cleveland Cavaliers,Chicago Bulls
2022-12-10T00:10:46Z,Indiana Pacers,Washington Wizards
2021-11-16T00:10:00Z,Cleveland Cavaliers,Boston Celtics
2021-12-25T17:00:00Z,New York Knicks,Atlanta Hawks
2021-12-19T01:10:00Z,Oklahoma City Thunder,Los Angeles Clippers
2022-03-12T00:40:12Z,Atlanta Hawks,Los Angeles Clippers
2022-11-10T03:10:00Z,Sacramento Kings,Cleveland Cavaliers
2022-04-09T22:10:00Z,Memphis Grizzlies,New Orleans Pelicans
2021-11-25T00:10:00Z,Cleveland Cavaliers,Phoenix Suns
2022-11-02T22:10:00Z,Philadelphia 76ers,Washington Wizards
2022-11-26T01:00:00Z,Miami Heat,Washington Wizards
2022-11-18T03:10:00Z,Portland Trail Blazers,Brooklyn Nets
2021-11-19T01:10:47Z,Minnesota Timberwolves,San Antonio Spurs
2022-12-26T01:05:00Z,Golden State Warriors,Memphis Grizzlies
2021-12-13T02:40:00Z,Los Angeles Lakers,Orlando Magic
2022-04-05T23:40:00Z,Brooklyn Nets,Houston Rockets
2023-01-02T01:14:00Z,Memphis Grizzlies,Sacramento Kings
2022-03-03T01:10:31Z,Milwaukee Bucks,Miami Heat
2022-04-06T02:10:00Z,Sacramento Kings,New Orleans Pelicans
2022-01-30T01:09:44Z,Miami Heat,Toronto Raptors
2022-01-28T03:00:00Z,Golden State Warriors,Minnesota Timberwolves
2021-12-10T01:10:35Z,Memphis Grizzlies,Los Angeles Lakers
2022-01-26T03:10:00Z,Portland Trail Blazers,Minnesota Timberwolves
2022-03-03T01:10:41Z,New Orleans Pelicans,Sacramento Kings
2022-11-01T01:10:00Z,Utah Jazz,Memphis Grizzlies
2022-10-19T23:45:00Z,Toronto Raptors,Cleveland Cavaliers
2022-11-17T00:00:00Z,Washington Wizards,Oklahoma City Thunder
2023-01-03T03:40:00Z,Los Angeles Clippers,Miami Heat
2022-12-31T01:40:00Z,New Orleans Pelicans,Philadelphia 76ers
2022-10-19T23:40:00Z,Memphis Grizzlies,New York Knicks
2022-12-03T02:10:00Z,Utah Jazz,Indiana Pacers
2021-12-05T01:10:34Z,Brooklyn Nets,Chicago Bulls
2022-02-12T00:10:53Z,Philadelphia 76ers,Oklahoma City Thunder
2022-01-10T00:10:16Z,Oklahoma City Thunder,Denver Nuggets
2022-12-03T17:40:00Z,New York Knicks,Dallas Mavericks
2021-11-27T01:10:15Z,Indiana Pacers,Toronto Raptors
2021-12-28T01:10:45Z,Minnesota Timberwolves,Boston Celtics
2022-01-29T01:10:00Z,New Orleans Pelicans,Denver Nuggets
2022-12-24T00:30:00Z,Cleveland Cavaliers,Toronto Raptors
2022-10-24T00:10:00Z,Oklahoma City Thunder,Minnesota Timberwolves
2022-10-29T00:40:29Z,San Antonio Spurs,Chicago Bulls
2022-11-24T00:10:32Z,Indiana Pacers,Minnesota Timberwolves
2021-10-23T02:10:00Z,Los Angeles Lakers,Phoenix Suns
2022-10-19T23:46:45Z,Miami Heat,Chicago Bulls
2022-02-18T01:10:00Z,New Orleans Pelicans,Dallas Mavericks
2021-12-11T01:10:00Z,Minnesota Timberwolves,Cleveland Cavaliers
2022-03-28T23:35:00Z,Toronto Raptors,Boston Celtics
2022-11-03T02:10:00Z,Portland Trail Blazers,Memphis Grizzlies
2021-11-03T23:45:00Z,Brooklyn Nets,Atlanta Hawks
2022-12-31T01:10:30Z,Chicago Bulls,Detroit Pistons
2022-04-16T17:00:00Z,Dallas Mavericks,Utah Jazz
2022-03-03T01:10:00Z,Milwaukee Bucks,Miami Heat
2022-01-15T01:10:00Z,Miami Heat,Atlanta Hawks
2022-03-18T23:40:00Z,Brooklyn Nets,Portland Trail Blazers
2022-12-11T01:10:53Z,Chicago Bulls,Dallas Mavericks
2022-01-23T01:10:25Z,Cleveland Cavaliers,Oklahoma City Thunder
2022-01-16T18:10:00Z,Detroit Pistons,Phoenix Suns
2021-10-27T23:10:33Z,Orlando Magic,Charlotte Hornets
2022-03-10T00:10:25Z,Charlotte Hornets,Boston Celtics
2022-11-12T02:45:37Z,Memphis Grizzlies,Minnesota Timberwolves
2021-12-24T00:10:20Z,Orlando Magic,New Orleans Pelicans
2022-03-03T00:46:34Z,Philadelphia 76ers,New York Knicks
2022-03-17T02:00:00Z,Golden State Warriors,Boston Celtics
2023-01-03T00:10:00Z,Philadelphia 76ers,New Orleans Pelicans
2021-10-30T02:13:43Z,Portland Trail Blazers,Los Angeles Clippers
2022-02-13T01:10:00Z,Chicago Bulls,Oklahoma City Thunder
2022-02-17T03:10:00Z,Los Angeles Lakers,Utah Jazz
2022-11-29T02:10:56Z,Denver Nuggets,Houston Rockets
2022-02-06T23:10:00Z,Cleveland Cavaliers,Indiana Pacers
2022-03-15T02:40:00Z,Los Angeles Lakers,Toronto Raptors
2022-03-10T01:10:00Z,Milwaukee Bucks,Atlanta Hawks
2022-05-06T23:00:00Z,Philadelphia 76ers,Miami Heat
2022-01-24T01:10:00Z,Minnesota Timberwolves,Brooklyn Nets
2022-01-29T01:10:00Z,Oklahoma City Thunder,Indiana Pacers
2022-02-28T00:45:54Z,Golden State Warriors,Dallas Mavericks
2021-10-20T23:13:34Z,Detroit Pistons,Chicago Bulls
2022-11-04T23:40:00Z,Boston Celtics,Chicago Bulls
2022-12-08T00:40:00Z,New York Knicks,Atlanta Hawks
2021-11-12T00:09:07Z,Philadelphia 76ers,Toronto Raptors
2022-04-08T23:10:00Z,Detroit Pistons,Milwaukee Bucks
2022-05-30T00:30:00Z,Miami Heat,Boston Celtics
2021-12-24T00:40:00Z,New York Knicks,Washington Wizards
