_id,team.id,team.name,team.nickname,team.code,team.city,team.logo,team.allStar,team.nbaFranchise,team.leagues.standard.conference,team.leagues.standard.division,team.leagues.vegas.conference,team.leagues.vegas.division,team.leagues.utah.conference,team.leagues.utah.division,team.leagues.sacramento.conference,team.leagues.sacramento.division
664a6f23bf2f0504d98b07f7,1,Atlanta Hawks,Hawks,ATL,Atlanta,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,false,true,East,Southeast,summer,,East,Southeast,East,Southeast
664a6f23bf2f0504d98b07f8,2,Boston Celtics,Celtics,BOS,Boston,https://upload.wikimedia.org/wikipedia/fr/thumb/6/65/Celtics_de_Boston_logo.svg/1024px-Celtics_de_Boston_logo.svg.png,false,true,East,Atlantic,summer,,East,Atlantic,East,Atlantic
664a6f23bf2f0504d98b07f9,4,Brooklyn Nets,Nets,BKN,Brooklyn,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,false,true,East,Atlantic,summer,,East,Atlantic,East,Atlantic
664a6f23bf2f0504d98b07fa,5,Charlotte Hornets,Hornets,CHA,Charlotte,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,false,true,East,Southeast,summer,,East,Southeast,East,Southeast
664a6f23bf2f0504d98b07fb,6,Chicago Bulls,Bulls,CHI,Chicago,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,false,true,East,Central,summer,,East,Central,East,Central
664a6f23bf2f0504d98b07fc,7,Cleveland Cavaliers,Cavaliers,CLE,Cleveland,https://upload.wikimedia.org/wikipedia/fr/thumb/0/06/Cavs_de_Cleveland_logo_2017.png/150px-Cavs_de_Cleveland_logo_2017.png,false,true,East,Central,summer,,East,Central,East,Central
664a6f23bf2f0504d98b07fd,8,Dallas Mavericks,Mavericks,DAL,Dallas,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Mavericks_de_Dallas_logo.svg/150px-Mavericks_de_Dallas_logo.svg.png,false,true,West,Southwest,summer,,West,Southwest,West,Southwest
664a6f23bf2f0504d98b07fe,9,Denver Nuggets,Nuggets,DEN,Denver,https://upload.wikimedia.org/wikipedia/fr/thumb/3/35/Nuggets_de_Denver_2018.png/180px-Nuggets_de_Denver_2018.png,false,true,West,Northwest,summer,,West,Northwest,West,Northwest
664a6f23bf2f0504d98b07ff,10,Detroit Pistons,Pistons,DET,Detroit,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Logo_of_the_Detroit_Pistons.png/300px-Logo_of_the_Detroit_Pistons.png,false,true,East,Central,summer,,East,Central,East,Central
664a6f23bf2f0504d98b0800,11,Golden State Warriors,Warriors,GSW,Golden State,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Warriors_de_Golden_State_logo.svg/1200px-Warriors_de_Golden_State_logo.svg.png,false,true,West,Pacific,summer,,West,Pacific,California,
664a6f23bf2f0504d98b0801,14,Houston Rockets,Rockets,HOU,Houston,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,false,true,West,Southwest,summer,,West,Southwest,West,Southwest
664a6f23bf2f0504d98b0802,15,Indiana Pacers,Pacers,IND,Indiana,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,false,true,East,Central,summer,,East,Central,East,Central
664a6f23bf2f0504d98b0803,16,LA Clippers,Clippers,LAC,LA,https://upload.wikimedia.org/wikipedia/fr/d/d6/Los_Angeles_Clippers_logo_2010.png,false,true,West,Pacific,summer,,West,Pacific,West,Pacific
664a6f23bf2f0504d98b0804,17,Los Angeles Lakers,Lakers,LAL,Los Angeles,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,false,true,West,Pacific,summer,,West,Pacific,California,
664a6f23bf2f0504d98b0805,19,Memphis Grizzlies,Grizzlies,MEM,Memphis,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,false,true,West,Southwest,summer,,Utah,,West,Southwest
664a6f23bf2f0504d98b0806,20,Miami Heat,Heat,MIA,Miami,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,false,true,East,Southeast,summer,,East,Southeast,California,
664a6f23bf2f0504d98b0807,21,Milwaukee Bucks,Bucks,MIL,Milwaukee,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,false,true,East,Central,summer,,East,Central,East,Central
664a6f23bf2f0504d98b0808,22,Minnesota Timberwolves,Timberwolves,MIN,Minnesota,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,false,true,West,Northwest,summer,,West,Northwest,West,Northwest
664a6f23bf2f0504d98b0809,23,New Orleans Pelicans,Pelicans,NOP,New Orleans,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,false,true,West,Southwest,summer,,West,Southwest,West,Southwest
664a6f23bf2f0504d98b080a,24,New York Knicks,Knicks,NYK,New York,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,false,true,East,Atlantic,summer,,East,Atlantic,East,Atlantic
664a6f23bf2f0504d98b080b,25,Oklahoma City Thunder,Thunder,OKC,Oklahoma City,https://upload.wikimedia.org/wikipedia/fr/thumb/4/4f/Thunder_d%27Oklahoma_City_logo.svg/1200px-Thunder_d%27Oklahoma_City_logo.svg.png,false,true,West,Northwest,summer,,Utah,,West,Northwest
664a6f23bf2f0504d98b080c,26,Orlando Magic,Magic,ORL,Orlando,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,false,true,East,Southeast,summer,,East,Southeast,East,Southeast
664a6f23bf2f0504d98b080d,27,Philadelphia 76ers,76ers,PHI,Philadelphia,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,false,true,East,Atlantic,summer,,Utah,,East,Atlantic
664a6f23bf2f0504d98b080e,28,Phoenix Suns,Suns,PHX,Phoenix,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,false,true,West,Pacific,summer,,West,Pacific,West,Pacific
664a6f23bf2f0504d98b080f,29,Portland Trail Blazers,Trail Blazers,POR,Portland,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Portland_Trail_Blazers_logo.svg/1200px-Portland_Trail_Blazers_logo.svg.png,false,true,West,Northwest,summer,,West,Northwest,West,Northwest
664a6f23bf2f0504d98b0810,30,Sacramento Kings,Kings,SAC,Sacramento,https://upload.wikimedia.org/wikipedia/fr/thumb/9/95/Kings_de_Sacramento_logo.svg/1200px-Kings_de_Sacramento_logo.svg.png,false,true,West,Pacific,summer,,West,Pacific,California,
